issue_number,title,state,commit_count,first,last,span_days,scopes
30,feat(frontend): notifications inbox UI — in-app notification centre,CLOSED,2,2026-04-04,2026-04-11,7,frontend
24,[P2] Verify and document Istio DestinationRule ROUND_ROBIN load balancing for all gRPC service pairs,CLOSED,2,2026-04-04,2026-04-10,6,frontend; infra
22,[P2] Evaluate tenant-per-schema scalability ceiling and document decision for 500+ tenants,CLOSED,2,2026-04-04,2026-04-10,6,frontend; migrate
21,[P2] Implement and ship the billing service,CLOSED,2,2026-04-04,2026-04-10,6,billing; frontend
20,[P2] Document vertical plugin YAML schema (JSON Schema or protobuf),CLOSED,2,2026-04-04,2026-04-10,6,vertical
18,"[P1] Run critical-path E2E tests on every PR, not just nightly",CLOSED,2,2026-04-04,2026-04-10,6,ci; iam
14,[P0] Design and implement saga pattern for the 9-step tenant registration pipeline,CLOSED,2,2026-04-04,2026-04-10,6,registration; reporting
106,chore(infra): scrape StudyBuddy API metrics from local Prometheus,MERGED,1,2026-06-11,2026-06-11,0,
105,chore(security): bump CI Go toolchain to 1.25.11,MERGED,1,2026-06-11,2026-06-11,0,
101,Vulnerabilities detected in dependencies (2026-05-08),CLOSED,1,2026-05-13,2026-05-13,0,security
102,chore(security): bump Go to 1.25.10 + x/net v0.53.0 (closes #101),MERGED,1,2026-05-13,2026-05-13,0,security
100,feat(iam): tenant retention lifecycle sweeper (Stages 1+2 of #92),MERGED,1,2026-04-21,2026-04-21,0,iam
99,feat(iam): UNIQUE constraint on tenants.name (case-insensitive),MERGED,1,2026-04-21,2026-04-21,0,iam
97,chore(demo): preflight smoke-test for local dev stack,MERGED,1,2026-04-21,2026-04-21,0,demo
98,docs(commands): add Mermaid example to /new-adr template,MERGED,1,2026-04-21,2026-04-21,0,commands
96,feat(ui): per-production budget aggregation on detail page,MERGED,1,2026-04-20,2026-04-20,0,ui
95,fix(ui): replace invalid ringColor CSS prop with ring-white Tailwind class,MERGED,1,2026-04-20,2026-04-20,0,ui
94,fix(ci): create local main ref so buf breaking actually finds it,MERGED,1,2026-04-20,2026-04-20,0,ci
93,"feat(project,ui): wire Phases + Crew tabs onto live API (Phase C part 2)",MERGED,1,2026-04-20,2026-04-20,0,
88,feat(seed): add seeds/template/new-tenant/ scaffold,MERGED,1,2026-04-20,2026-04-20,0,seed
78,feat(ui): wire productions pages onto live API (Phase C),MERGED,1,2026-04-20,2026-04-20,0,ui
66,feat(payments): ADR + Gateway interface design (no driver yet),CLOSED,1,2026-04-20,2026-04-20,0,payments
76,feat(payments): Gateway interface + stub driver (#66),MERGED,1,2026-04-20,2026-04-20,0,payments
77,fix(ci): fetch full history for proto breaking-change job,MERGED,1,2026-04-20,2026-04-20,0,ci
68,docs(readme): replace upstream golang-migrate README with Thittam overview,MERGED,1,2026-04-20,2026-04-20,0,readme
67,feat(seed): add XYZ Construction demo tenant,MERGED,1,2026-04-20,2026-04-20,0,seed
69,feat(budget): wire REST gateways + live /budgets pages (Phase B),MERGED,1,2026-04-20,2026-04-20,0,budget
75,chore(tooling): Phase 1 — Claude Code workflow (spec-first + slash commands),MERGED,1,2026-04-20,2026-04-20,0,
70,chore(tooling): Phase 1 — Claude Code workflow improvements (epic),OPEN,1,2026-04-20,2026-04-20,0,tooling
71,chore(tooling): §1.1 /spec-first slash command,CLOSED,1,2026-04-20,2026-04-20,0,tooling
72,chore(tooling): §1.2 plan-mode discipline for multi-file changes,OPEN,1,2026-04-20,2026-04-20,0,tooling
73,chore(tooling): §1.3 sub-agent fleet defaults,OPEN,1,2026-04-20,2026-04-20,0,tooling
74,chore(tooling): §2.2 Thittam slash commands for repeated workflows,OPEN,1,2026-04-20,2026-04-20,0,tooling
65,feat(ui): adopt shadcn/ui as themeable foundation,OPEN,1,2026-04-14,2026-04-14,0,ui
59,ci(deps): bump grpc + go-redis to fix remaining vuln-scan findings; document N/A vulns,CLOSED,1,2026-04-13,2026-04-13,0,deps
54,ci: vuln-scan failing on Go 1.25 stdlib CVEs (GO-2026-*),CLOSED,1,2026-04-13,2026-04-13,0,
56,ci(buf): RPC response naming warnings break the buf lint job,CLOSED,1,2026-04-13,2026-04-13,0,buf
53,ci: Test & Coverage job fails with 'no such tool covdata' on Go 1.22 toolchain,CLOSED,1,2026-04-13,2026-04-13,0,
48,test(crypto): make TestDecrypt_Tampered deterministic,CLOSED,1,2026-04-13,2026-04-13,0,
49,chore(repo): gitignore service binaries left at repo root by go build,CLOSED,1,2026-04-13,2026-04-13,0,
50,chore(proto): fix buf config so 'buf breaking' compares correctly,CLOSED,1,2026-04-13,2026-04-13,0,
51,ci: run 'make test-integration' on every PR,CLOSED,1,2026-04-13,2026-04-13,0,
45,chore(rbac): ADR-014 cross-cutting role-name cleanup (Phase 1 leftover),CLOSED,1,2026-04-13,2026-04-13,0,rbac
33,feat(iam): rename system roles to generic names (ADR-014 Phase 1),CLOSED,1,2026-04-13,2026-04-13,0,iam
43,feat(services): wire project_id into permission checks across project-scoped services (ADR-014 Phase 2),CLOSED,1,2026-04-13,2026-04-13,0,iam
1,chore(proto): Run buf generate and sqlc generate — shared prep work,CLOSED,1,2026-04-11,2026-04-11,0,proto
32,"feat(infra): K8s manifests — Deployments, Services, HPA, ConfigMaps, NetworkPolicy for all 10 services",CLOSED,1,2026-04-11,2026-04-11,0,infra
29,"feat(frontend): document management UI — file browser, upload, versioning, e-signatures",CLOSED,1,2026-04-11,2026-04-11,0,frontend
15,[P1] Document and implement reporting-analytics read model strategy,CLOSED,1,2026-04-10,2026-04-10,0,reporting
2,"feat(iam): Build IAM service — identity, auth, RBAC, tenancy",CLOSED,1,2026-04-10,2026-04-10,0,secrets
7,feat(ledger): Build general-ledger service — double-entry accounting,CLOSED,1,2026-04-04,2026-04-04,0,
6,"feat(inventory): Complete inventory-management service — repository, gRPC wiring, main.go",CLOSED,1,2026-04-04,2026-04-04,0,vertical
5,"feat(expense): Complete expense-tracking service — repository, gRPC wiring, main.go",CLOSED,1,2026-04-04,2026-04-04,0,cli
13,[P0] Resolve contradiction between Rule #2 (env vars) and security doc (Vault for T1 secrets),CLOSED,1,2026-04-04,2026-04-04,0,
4,"feat(budget): Complete budget-planning service — repository, gRPC wiring, main.go",CLOSED,1,2026-04-04,2026-04-04,0,
3,"feat(project): Complete project-management service — repository, gRPC wiring, main.go",CLOSED,1,2026-04-04,2026-04-04,0,iam
